trial,visual,audio,judgment,model_samples,model_path_length_cutoff,model_door_close_prob,model_softmax_temp,step_count_difference_threshold
snack10,False,True,41.0,1000,20,0.5,1,4
snack11,False,True,47.0,1000,20,0.5,1,4
snack12,False,True,0.0,1000,20,0.5,1,4
snack13,False,True,0.0,1000,20,0.5,1,4
snack1,False,True,0.0,1000,20,0.5,1,4
snack2,False,True,53.0,1000,20,0.5,1,4
snack3,False,True,26.0,1000,20,0.5,1,4
snack4,False,True,87.0,1000,20,0.5,1,4
snack5,False,True,0.0,1000,20,0.5,1,4
snack6,False,True,45.0,1000,20,0.5,1,4
snack7,False,True,51.0,1000,20,0.5,1,4
snack8,False,True,44.0,1000,20,0.5,1,4
snack9,False,True,56.0,1000,20,0.5,1,4
tv1,False,True,63.0,1000,20,0.5,1,4
tv2,False,True,50.0,1000,20,0.5,1,4
tv3,False,True,65.0,1000,20,0.5,1,4
tv4,False,True,55.0,1000,20,0.5,1,4
tv5,False,True,0.0,1000,20,0.5,1,4
tv6,False,True,100.0,1000,20,0.5,1,4
tv7,False,True,52.0,1000,20,0.5,1,4
