trial,visual,audio,judgment,model_samples,model_path_length_cutoff,model_door_close_prob,model_softmax_temp,step_count_difference_threshold
snack10,True,True,100.0,1000,20,0.5,1,4
snack11,True,True,0.0,1000,20,0.5,1,4
snack12,True,True,0.0,1000,20,0.5,1,4
snack13,True,True,0.0,1000,20,0.5,1,4
snack1,True,True,0.0,1000,20,0.5,1,4
snack2,True,True,48.0,1000,20,0.5,1,4
snack3,True,True,29.0,1000,20,0.5,1,4
snack4,True,True,50,1000,20,0.5,1,4
snack5,True,True,0.0,1000,20,0.5,1,4
snack6,True,True,100.0,1000,20,0.5,1,4
snack7,True,True,17.0,1000,20,0.5,1,4
snack8,True,True,100.0,1000,20,0.5,1,4
snack9,True,True,17.0,1000,20,0.5,1,4
tv1,True,True,100.0,1000,20,0.5,1,4
tv2,True,True,92.0,1000,20,0.5,1,4
tv3,True,True,47.0,1000,20,0.5,1,4
tv4,True,True,100.0,1000,20,0.5,1,4
tv5,True,True,0.0,1000,20,0.5,1,4
tv6,True,True,100.0,1000,20,0.5,1,4
tv7,True,True,50,1000,20,0.5,1,4
