workerid,proliferate.condition,age,audio_check,ethnicity,feedback,gender,race,time,error
3747,3,30,1,Non-Hispanic,,Female,White,796.745,
3710,3,43,1,Hispanic,none,Female,White,922.572,
3756,3,22,1,Hispanic,,Male,Black/African American,498.15,
3700,3,50,1,Non-Hispanic,,Female,White,873.964,
3799,3,68,1,Non-Hispanic,,Female,White,1318.038,
3697,3,23,1,Non-Hispanic,I tried to relisten to one of the audios but it wouldn't let me. I thought I was allowed to listen as many times as I wanted.,Non-binary,White,802.323,
3726,3,35,1,Non-Hispanic,Picture guidance may help,Male,Asian,514.888,
3744,3,34,1,Non-Hispanic,,Male,White,567.357,
3713,3,28,1,Non-Hispanic,,Male,White,555.538,
3741,3,57,1,,none,Male,White,807.903,
3777,3,45,1,Non-Hispanic,The audio clues didn't work in my firefox browser. I continued because I could still answer the visual clues scenarios. And because its a psycology quiz I thought you might be testing how people responded when no audio was present on purpose. Anyways it was fun and the animations were cool!,Male,White,1132.991,
3774,3,35,1,Non-Hispanic,,Female,Asian,402.306,
3708,3,36,1,Non-Hispanic,not especially,Male,White,279.467,
3723,3,25,1,Non-Hispanic,,Male,Asian,1055.558,
3717,3,24,1,Non-Hispanic,,Female,White,952.819,
3780,3,30,1,Non-Hispanic,It was a fun experiment!,Male,White,971.401,
3729,3,42,1,Hispanic,nope,Male,White,1164.213,
3789,3,41,1,Non-Hispanic,,Male,White,727.122,
3802,3,29,1,Non-Hispanic,None at this time,Female,,1009.795,
3759,3,22,1,Non-Hispanic,,Male,White,575.888,
3768,3,18,1,Hispanic,none,Female,Black/African American,789.376,
3792,3,47,1,Non-Hispanic,no,Female,White,767.594,
3750,3,33,1,Non-Hispanic,,Male,Asian,803.856,
3738,3,51,1,Non-Hispanic,I do not.  Have a blessed day.,Male,White,1441.898,
3800,3,28,1,Non-Hispanic,Interesting and fun experiment! Never done one like this before. Thanks and have a great day! :),Female,White,715.561,
3753,3,24,1,Non-Hispanic,,Male,White,593.135,
3720,3,36,1,Non-Hispanic,,Female,White,902.814,
3735,3,36,1,Hispanic,,,White,766.312,
3732,3,37,1,Non-Hispanic,None,Female,Asian,1266.808,
3765,3,32,1,Non-Hispanic,,Female,White,446.38,
3771,3,63,1,Non-Hispanic,,Male,White,656.017,
3803,3,39,1,Non-Hispanic,no,Male,White,818.186,
3795,3,50,1,Non-Hispanic,,Female,White,904.413,
3705,1,44,1,Non-Hispanic,I enjoyed this experiment.,Female,Black/African American,346.176,
3790,1,40,1,Non-Hispanic,"No, I do not.",Male,White,961.48,
